AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
271,重度污染,2.5,州监测站,82,26,32,349,221,25,昌吉州,细颗粒物(PM2.5)
252,重度污染,1.9,新区政务中心,50,29,34,264,202,20,昌吉州,细颗粒物(PM2.5)
155,中度污染,1.4,经开区环保局,61,3,17,_,118,6,长沙,细颗粒物(PM2.5)
125,轻度污染,1.0,高开区环保局,39,46,50,_,95,9,长沙,细颗粒物(PM2.5)
199,中度污染,1.3,马坡岭,63,2,22,_,149,7,长沙,细颗粒物(PM2.5)
156,中度污染,1.7,湖南师范大学,36,37,45,_,119,7,长沙,细颗粒物(PM2.5)
162,中度污染,1.4,雨花区环保局,69,11,22,_,123,9,长沙,细颗粒物(PM2.5)
99,良,1.5,海虞子站,98,15,50,147,_,21,常熟,颗粒物(PM10)
189,中度污染,1.6,菱塘子站,_,13,58,202,142,30,常熟,细颗粒物(PM2.5)
149,轻度污染,1.3,伍家岭,72,19,37,_,114,10,长沙,细颗粒物(PM2.5)
148,轻度污染,1.4,火车新站,62,15,26,_,113,6,长沙,细颗粒物(PM2.5)
169,中度污染,1.5,天心区环保局,67,15,32,_,128,6,长沙,细颗粒物(PM2.5)
133,轻度污染,1.3,湖南中医药大学,43,39,50,_,101,8,长沙,细颗粒物(PM2.5)
120,轻度污染,1.3,沙坪,14,49,43,_,91,10,长沙,细颗粒物(PM2.5)
55,良,1.1,清华站,44,62,80,59,30,40,长治,颗粒物(PM10)
60,良,1.3,监测站,50,55,68,70,33,40,长治,颗粒物(PM10)
218,重度污染,3.1,市监测站,136,5,32,252,168,19,常州,细颗粒物(PM2.5)
48,优,1.3,城建学校,34,8,8,48,30,13,常州,_
62,良,0.8,审计局,45,72,56,73,31,30,长治,颗粒物(PM10)
60,良,1.1,长治八中,55,38,53,69,33,55,长治,颗粒物(PM10)
53,良,1.1,德盛苑,30,82,92,56,27,36,长治,颗粒物(PM10)
38,优,1.0,常工院,65,13,7,33,26,14,常州,_
56,良,1.2,潞城,62,10,7,62,32,19,常州,颗粒物(PM10)
248,重度污染,1.8,武进监测站,90,3,22,237,198,24,常州,细颗粒物(PM2.5)
251,重度污染,2.6,安家,92,7,31,260,201,33,常州,细颗粒物(PM2.5)
222,重度污染,2.2,行政中心,119,12,38,229,172,20,常州,细颗粒物(PM2.5)
255,重度污染,2.3,经开区,119,10,46,264,205,24,常州,细颗粒物(PM2.5)
70,良,1.1,西园路,28,89,103,_,51,13,潮州,细颗粒物(PM2.5)
69,良,1.1,档案局,26,93,109,_,50,21,潮州,细颗粒物(PM2.5)
63,良,1.0,市政府,23,115,126,58,45,12,潮州,细颗粒物(PM2.5)
232,重度污染,2.4,钟楼,118,8,40,225,182,18,常州,细颗粒物(PM2.5)
100,良,2.0,铁路,76,4,29,149,45,29,承德,颗粒物(PM10)
72,良,1.7,中国银行,60,4,35,94,38,21,承德,颗粒物(PM10)
78,良,1.8,开发区,66,6,36,106,43,20,承德,颗粒物(PM10)
77,良,1.5,文化中心,64,9,49,103,41,22,承德,颗粒物(PM10)
59,良,0.8,离宫,54,15,49,68,32,19,承德,颗粒物(PM10)
195,中度污染,1.8,金泉两河,107,2,22,194,146,15,成都,细颗粒物(PM2.5)
162,中度污染,1.2,十里店,86,12,35,176,123,11,成都,细颗粒物(PM2.5)
160,中度污染,1.1,三瓦窑,81,23,30,165,122,10,成都,细颗粒物(PM2.5)
180,中度污染,1.3,沙河铺,80,2,17,171,136,14,成都,细颗粒物(PM2.5)
70,良,0.8,梁家巷,37,80,111,89,50,_,成都,颗粒物(PM10)
68,良,1.1,西梁,32,49,66,56,49,65,朝阳,细颗粒物(PM2.5)
115,轻度污染,1.1,灵岩寺,45,77,85,154,87,16,成都,细颗粒物(PM2.5)
169,中度污染,1.4,君平街,88,15,28,181,128,14,成都,细颗粒物(PM2.5)
196,中度污染,1.5,大石西路,89,7,21,250,147,11,成都,细颗粒物(PM2.5)
156,中度污染,1.1,龙泉驿区区政府,42,27,26,151,119,9,成都,细颗粒物(PM2.5)
43,优,0.9,河畔小区,14,64,72,33,30,14,朝阳,_
41,优,0.5,八里堡,30,45,57,41,13,115,朝阳,_
59,良,1.2,农业园区,28,46,58,68,41,57,朝阳,颗粒物(PM10)
43,优,1.0,松山一中,20,42,35,43,18,12,赤峰,_
51,良,1.2,哈达街,27,44,36,51,18,19,赤峰,颗粒物(PM10)
34,优,0.8,天义路,36,45,40,34,22,17,赤峰,_
32,优,1.0,银河街,16,42,48,27,22,18,赤峰,_
159,中度污染,1.4,马头岭,37,57,57,173,121,8,郴州,细颗粒物(PM2.5)
179,中度污染,2.2,市职中,36,38,35,167,135,10,郴州,细颗粒物(PM2.5)
153,中度污染,2.0,兴隆步行街,26,47,43,175,117,18,郴州,细颗粒物(PM2.5)
125,轻度污染,2.2,市审计局,31,51,46,164,95,31,郴州,细颗粒物(PM2.5)
143,轻度污染,2.6,市环保局,36,37,26,160,109,17,郴州,细颗粒物(PM2.5)
265,重度污染,2.2,池州学院,84,32,29,251,215,9,池州,细颗粒物(PM2.5)
216,重度污染,1.7,平天湖,86,39,39,203,166,6,池州,细颗粒物(PM2.5)
269,重度污染,1.9,老干部局,94,41,42,266,219,7,池州,细颗粒物(PM2.5)
65,良,1.2,缙云山,39,12,28,61,47,3,重庆,细颗粒物(PM2.5)
139,轻度污染,1.6,天生,51,2,3,137,106,21,重庆,细颗粒物(PM2.5)
69,良,1.1,两路,60,6,9,53,50,7,重庆,细颗粒物(PM2.5)
122,轻度污染,1.5,虎溪,60,1,4,132,92,12,重庆,细颗粒物(PM2.5)
129,轻度污染,1.5,市环保局江州分局,29,81,102,126,98,8,崇左,细颗粒物(PM2.5)
84,良,1.2,南坪,46,5,12,92,62,9,重庆,细颗粒物(PM2.5)
66,良,1.1,唐家沱,52,3,6,81,46,9,重庆,颗粒物(PM10)
41,优,0.5,州环境监测站,15,71,80,41,16,17,楚雄州,_
134,轻度污染,1.4,城南新区,26,86,95,116,102,9,崇左,细颗粒物(PM2.5)
117,轻度污染,1.3,茶园,53,3,4,119,88,10,重庆,细颗粒物(PM2.5)
95,良,1.4,白市驿,52,4,4,99,71,10,重庆,细颗粒物(PM2.5)
74,良,1.2,空港,62,7,10,82,54,7,重庆,细颗粒物(PM2.5)
55,良,0.2,市经济开发区,15,66,74,59,23,14,楚雄州,颗粒物(PM10)
270,重度污染,2.8,老年大学,129,32,55,275,220,20,滁州,细颗粒物(PM2.5)
93,良,1.5,新山村,56,3,4,97,69,12,重庆,细颗粒物(PM2.5)
82,良,1.0,礼嘉,49,5,6,65,60,7,重庆,细颗粒物(PM2.5)
113,轻度污染,1.3,蔡家,51,5,5,126,85,6,重庆,细颗粒物(PM2.5)
274,重度污染,2.2,人大宾馆,119,12,55,289,224,16,滁州,细颗粒物(PM2.5)
272,重度污染,4.1,监测站,123,16,43,307,222,20,滁州,细颗粒物(PM2.5)
82,良,1.4,鱼新街,54,5,6,108,60,19,重庆,细颗粒物(PM2.5)
77,良,1.4,歇台子,62,6,7,80,56,15,重庆,细颗粒物(PM2.5)
51,良,0.6,大理市环境监测站,11,88,87,52,17,3,大理州,颗粒物(PM10)
68,良,1.6,甘井子,82,9,36,86,47,42,大连,颗粒物(PM10)
62,良,1.9,周水子,49,6,33,70,44,30,大连,细颗粒物(PM2.5)
69,良,1.9,星海三站,90,4,27,88,39,67,大连,颗粒物(PM10)
108,轻度污染,1.4,龙井湾,66,4,5,112,81,12,重庆,细颗粒物(PM2.5)
78,良,1.2,龙洲湾,55,4,6,88,57,16,重庆,细颗粒物(PM2.5)
87,良,1.2,上清寺,52,7,10,85,64,9,重庆,细颗粒物(PM2.5)
56,良,0.8,大理古城,8,95,95,62,5,5,大理州,颗粒物(PM10)
84,良,2.2,青泥洼桥,84,5,28,117,48,45,大连,颗粒物(PM10)
57,良,1.8,傅家庄,43,8,32,59,40,53,大连,细颗粒物(PM2.5)
67,良,1.8,七贤岭,85,11,47,83,35,28,大连,颗粒物(PM10)
51,良,1.3,旅顺,40,26,38,51,26,13,大连,颗粒物(PM10)
67,良,1.6,金州,75,13,48,83,46,33,大连,颗粒物(PM10)
52,良,1.3,开发区,51,32,47,54,30,27,大连,颗粒物(PM10)
36,优,0.8,江湾东路,17,69,80,36,15,22,丹东,_
62,良,1.1,双D港,56,32,74,66,44,42,大连,细颗粒物(PM2.5)
49,优,0.8,临江后街,32,47,66,49,27,26,丹东,_
26,优,0.9,元宝山,26,45,64,26,18,20,丹东,_
43,优,0.8,民主桥,34,49,63,43,16,33,丹东,_
67,良,0.9,大同区,21,54,69,_,48,12,大庆,细颗粒物(PM2.5)
37,优,0.7,龙凤区,33,40,55,37,18,46,大庆,_
29,优,0.4,红岗区,14,54,58,29,16,4,大庆,_
29,优,0.5,萨尔图区,52,44,61,29,13,30,大庆,_
36,优,0.6,让胡路区,14,43,52,36,22,13,大庆,_
65,良,1.3,果树场,84,13,48,79,36,52,大同,颗粒物(PM10)
63,良,1.4,云冈宾馆,49,30,46,75,24,40,大同,颗粒物(PM10)
63,良,1.0,大同大学,68,19,49,76,36,33,大同,颗粒物(PM10)
56,良,0.7,安家小村,28,58,65,62,29,19,大同,颗粒物(PM10)
67,良,1.4,教育学院,47,21,46,84,34,83,大同,颗粒物(PM10)
80,良,1.2,供排水公司,63,24,59,85,59,112,大同,细颗粒物(PM2.5)
28,优,0.5,环保局,17,55,55,28,17,28,大兴安岭地区,_
33,优,0.3,公安局,7,66,67,33,12,27,大兴安岭地区,_
108,轻度污染,1.5,达州职业技术学院,35,43,44,166,73,8,达州,颗粒物(PM10)
173,中度污染,2.1,市环境监测站,52,28,25,192,131,20,达州,细颗粒物(PM2.5)
203,重度污染,2.0,凤凰小区,56,37,38,183,153,23,达州,细颗粒物(PM2.5)
43,优,0.8,德宏州监测站,29,39,76,43,21,9,德宏州,_
139,轻度污染,1.8,达县机关宾馆,45,22,28,155,106,13,达州,细颗粒物(PM2.5)
222,重度污染,2.4,市政中心,63,82,87,251,172,62,达州,细颗粒物(PM2.5)
56,良,1.5,芒市建设局,48,47,80,62,32,16,德宏州,颗粒物(PM10)
127,轻度污染,1.0,东山公园,76,13,72,153,96,10,德阳,细颗粒物(PM2.5)
126,轻度污染,1.0,西小区,63,28,56,202,89,10,德阳,颗粒物(PM10)
133,轻度污染,1.0,市检察院,70,25,60,150,101,9,德阳,细颗粒物(PM2.5)
182,中度污染,1.4,耐火材料厂,73,23,60,211,137,6,德阳,细颗粒物(PM2.5)
118,轻度污染,1.7,监测站（原粮食局）,79,28,69,143,89,110,定西,细颗粒物(PM2.5)
74,良,1.0,南峰招待所（原起重机厂）,73,21,68,98,47,21,定西,颗粒物(PM10)
351,严重污染,3.3,儿童乐园,131,12,68,316,301,52,德州,细颗粒物(PM2.5)
283,重度污染,3.2,监理站,134,15,70,303,233,30,德州,细颗粒物(PM2.5)
266,重度污染,2.4,九衢泉纯净水厂,60,56,85,290,216,23,德州,细颗粒物(PM2.5)
50,优,0.7,古城,6,81,81,50,11,12,迪庆州,_
26,优,0.6,迪庆州站,11,72,73,26,15,46,迪庆州,_
199,中度污染,1.6,南城元岭,129,41,96,158,149,17,东莞,细颗粒物(PM2.5)
152,中度污染,1.1,东城石井,72,54,90,126,116,9,东莞,细颗粒物(PM2.5)
220,重度污染,1.3,南城西平,101,46,87,_,170,10,东莞,细颗粒物(PM2.5)
162,中度污染,1.4,东城主山,91,21,96,137,123,18,东莞,细颗粒物(PM2.5)
73,良,0.7,综合楼,26,86,96,96,16,8,鄂尔多斯,颗粒物(PM10)
195,中度污染,1.9,西城阳光环保公司,63,18,32,220,146,23,东营,细颗粒物(PM2.5)
