AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
97,良,2.2,市政中心,20,20,21,135,72,29,达州,细颗粒物(PM2.5)
23,优,0.6,公安局,7,61,60,23,11,15,大兴安岭地区,_
31,优,0.2,德宏州监测站,14,87,60,31,12,_,德宏州,_
29,优,0.7,芒市建设局,26,70,53,27,20,16,德宏州,_
97,良,0.7,东山公园,29,99,78,110,72,7,德阳,细颗粒物(PM2.5)
83,良,0.8,西小区,47,74,57,115,25,11,德阳,颗粒物(PM10)
81,良,0.7,市检察院,53,76,63,111,49,8,德阳,颗粒物(PM10)
92,良,0.7,耐火材料厂,52,79,58,107,68,8,德阳,细颗粒物(PM2.5)
28,优,0.9,儿童乐园,19,60,62,_,19,8,德州,_
69,良,1.1,监理站,20,58,61,87,14,9,德州,颗粒物(PM10)
79,良,0.8,九衢泉纯净水厂,17,67,71,107,11,17,德州,颗粒物(PM10)
106,轻度污染,0.9,监测站（原粮食局）,22,87,77,162,57,36,定西,颗粒物(PM10)
27,优,0.3,古城,4,86,85,15,_,16,迪庆州,_
30,优,0.5,迪庆州站,8,92,90,30,7,16,迪庆州,_
67,良,1.1,南峰招待所（原起重机厂）,29,71,41,84,48,13,定西,"颗粒物(PM10)
细颗粒物(PM2.5)"
62,良,1.2,南城元岭,33,43,56,51,44,12,东莞,细颗粒物(PM2.5)
58,良,0.8,东城石井,41,40,48,61,41,9,东莞,细颗粒物(PM2.5)
64,良,1.2,南城西平,48,36,40,49,46,9,东莞,细颗粒物(PM2.5)
67,良,1.1,东城主山,27,48,55,51,48,7,东莞,细颗粒物(PM2.5)
98,良,0.4,西城阳光环保公司,17,59,56,146,9,20,东营,颗粒物(PM10)
152,中度污染,0.4,市环保局,20,64,59,253,17,11,东营,颗粒物(PM10)
168,中度污染,0.4,耿井村,16,64,60,286,14,30,东营,颗粒物(PM10)
143,轻度污染,0.5,开发区管委会,15,64,58,236,14,11,东营,颗粒物(PM10)
79,良,1.0,莞城梨川,46,41,54,_,58,11,东莞,细颗粒物(PM2.5)
56,良,0.5,综合楼,26,76,84,61,6,7,鄂尔多斯,颗粒物(PM10)
41,优,0.8,巴音孟克林场办事处,10,82,85,41,12,7,鄂尔多斯,_
48,优,0.6,康泽苑,18,65,72,48,4,7,鄂尔多斯,_
45,优,0.5,华泰汽车城,15,91,95,45,14,6,鄂尔多斯,_
