AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
48,优,1.0,湖南中医药大学,13,68,64,_,33,5,长沙,_
57,良,1.0,沙坪,12,65,59,43,40,8,长沙,细颗粒物(PM2.5)
153,中度污染,1.8,德盛苑,37,37,32,148,117,35,长治,细颗粒物(PM2.5)
56,良,1.2,潞城,62,10,7,62,32,19,常州,颗粒物(PM10)
40,优,1.4,武进监测站,48,12,16,33,28,13,常州,_
60,良,1.2,安家,44,14,22,50,43,17,常州,细颗粒物(PM2.5)
209,重度污染,2.6,西梁,51,18,15,262,159,341,朝阳,细颗粒物(PM2.5)
140,轻度污染,2.7,河畔小区,51,17,18,141,107,105,朝阳,细颗粒物(PM2.5)
183,中度污染,2.9,八里堡,59,5,5,248,138,128,朝阳,细颗粒物(PM2.5)
105,轻度污染,2.2,农业园区,48,11,6,128,79,165,朝阳,细颗粒物(PM2.5)
39,优,1.5,行政中心,69,9,9,39,24,11,常州,_
58,良,1.6,经开区,64,17,29,53,41,17,常州,细颗粒物(PM2.5)
59,良,2.8,钟楼,64,11,22,45,42,11,常州,细颗粒物(PM2.5)
19,优,0.9,西园路,36,16,20,19,6,12,潮州,_
16,优,1.0,档案局,32,17,24,10,6,14,潮州,_
31,优,_,市政府,38,18,25,31,10,17,潮州,_
117,轻度污染,2.0,铁路,46,5,3,183,51,36,承德,颗粒物(PM10)
84,良,1.4,中国银行,43,10,5,117,45,86,承德,颗粒物(PM10)
84,良,1.7,开发区,45,9,6,118,52,58,承德,颗粒物(PM10)
118,轻度污染,1.9,文化中心,58,13,9,186,50,33,承德,颗粒物(PM10)
79,良,1.3,离宫,39,18,8,107,28,57,承德,颗粒物(PM10)
50,优,0.9,金泉两河,35,37,40,50,34,12,成都,_
48,优,0.9,十里店,52,25,39,48,29,9,成都,_
39,优,0.8,三瓦窑,43,40,50,37,27,5,成都,_
70,良,0.8,梁家巷,37,80,111,89,50,_,成都,颗粒物(PM10)
38,优,1.0,灵岩寺,17,61,45,38,20,8,成都,_
49,优,1.0,君平街,43,35,43,49,32,13,成都,_
139,轻度污染,2.9,松山一中,57,2,1,154,106,123,赤峰,细颗粒物(PM2.5)
114,轻度污染,1.1,哈达街,46,8,4,138,86,119,赤峰,细颗粒物(PM2.5)
19,优,1.0,马头岭,21,32,20,_,13,10,郴州,_
49,优,0.9,大石西路,37,38,45,48,34,12,成都,_
45,优,1.0,龙泉驿区区政府,41,17,24,42,31,6,成都,_
78,良,1.9,天义路,64,9,7,90,57,46,赤峰,细颗粒物(PM2.5)
208,重度污染,5.3,银河街,38,3,2,206,158,189,赤峰,细颗粒物(PM2.5)
25,优,0.8,市职中,19,17,9,_,17,7,郴州,_
30,优,1.2,兴隆步行街,25,12,6,30,14,8,郴州,_
12,优,0.9,市审计局,23,18,13,_,5,19,郴州,_
19,优,1.3,市环保局,22,10,5,_,13,7,郴州,_
97,良,1.4,池州学院,20,78,72,_,72,8,池州,细颗粒物(PM2.5)
90,良,1.3,平天湖,19,87,78,78,67,8,池州,细颗粒物(PM2.5)
89,良,1.2,老干部局,28,77,68,68,66,7,池州,细颗粒物(PM2.5)
16,优,0.4,缙云山,23,14,11,16,7,2,重庆,_
38,优,0.8,天生,36,4,6,30,26,14,重庆,_
62,良,1.3,两路,40,7,8,_,44,10,重庆,细颗粒物(PM2.5)
36,优,0.7,虎溪,25,6,9,34,25,9,重庆,_
25,优,1.6,市环保局江州分局,20,10,6,17,17,5,崇左,_
20,优,1.5,城南新区,21,9,8,15,14,5,崇左,_
35,优,1.4,南坪,37,5,4,_,24,4,重庆,_
36,优,1.2,唐家沱,31,8,11,36,15,12,重庆,_
40,优,1.0,茶园,29,5,5,33,28,8,重庆,_
