AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
42,优,0.5,市经济开发区,7,87,58,42,6,11,楚雄州,_
59,良,0.7,鱼新街,28,80,50,68,32,12,重庆,颗粒物(PM10)
51,良,0.7,歇台子,38,58,28,52,25,10,重庆,颗粒物(PM10)
53,良,0.3,龙井湾,41,78,56,55,27,10,重庆,颗粒物(PM10)
46,优,0.3,老年大学,4,93,87,46,24,14,滁州,_
54,良,0.3,人大宾馆,19,103,93,57,23,4,滁州,颗粒物(PM10)
50,优,0.4,监测站,22,84,78,50,15,9,滁州,_
51,良,2.1,龙洲湾,20,61,26,51,22,9,重庆,颗粒物(PM10)
56,良,0.5,上清寺,42,70,45,61,26,9,重庆,颗粒物(PM10)
27,优,0.5,甘井子,13,70,67,27,11,8,大连,_
24,优,0.5,周水子,16,58,60,24,11,10,大连,_
25,优,0.9,星海三站,26,58,66,25,8,19,大连,_
31,优,0.9,青泥洼桥,28,52,54,31,8,11,大连,_
34,优,0.8,傅家庄,20,52,56,34,9,3,大连,_
35,优,0.7,七贤岭,24,111,74,35,11,9,大连,_
25,优,0.6,旅顺,15,56,50,25,9,7,大连,_
31,优,0.5,金州,20,67,67,31,11,11,大连,_
21,优,0.6,开发区,27,58,61,21,9,10,大连,_
31,优,0.5,大理市环境监测站,11,99,86,16,5,2,大理州,_
24,优,0.7,双D港,7,76,73,20,12,14,大连,_
29,优,1.0,大同区,8,65,63,_,20,9,大庆,_
33,优,0.6,龙凤区,17,44,43,33,11,12,大庆,_
29,优,0.5,红岗区,28,44,52,_,20,12,大庆,_
25,优,0.4,萨尔图区,27,46,55,_,17,63,大庆,_
21,优,1.0,大理古城,7,67,58,15,1,4,大理州,_
39,优,0.8,江湾东路,24,68,73,39,22,19,丹东,_
35,优,0.7,临江后街,16,59,66,35,19,19,丹东,_
26,优,0.8,元宝山,24,49,54,25,18,16,丹东,_
53,良,1.4,民主桥,35,54,59,52,37,32,丹东,细颗粒物(PM2.5)
28,优,0.5,让胡路区,13,50,52,28,11,7,大庆,_
44,优,0.7,果树场,12,79,79,44,7,16,大同,_
19,优,0.8,云冈宾馆,8,58,57,15,2,14,大同,_
43,优,0.8,大同大学,7,70,67,43,2,10,大同,_
26,优,0.4,安家小村,5,82,80,26,6,3,大同,_
18,优,1.1,环保局,19,54,53,18,5,20,大兴安岭地区,_
21,优,0.7,公安局,10,56,60,21,10,22,大兴安岭地区,_
43,优,0.9,教育学院,23,39,47,43,4,13,大同,_
82,良,0.9,达州职业技术学院,22,_,79,72,60,21,达州,细颗粒物(PM2.5)
75,良,1.1,市环境监测站,64,42,33,82,55,23,达州,细颗粒物(PM2.5)
84,良,1.5,凤凰小区,61,68,68,73,62,25,达州,细颗粒物(PM2.5)
82,良,1.2,达县机关宾馆,55,72,71,73,60,16,达州,细颗粒物(PM2.5)
84,良,2.0,市政中心,21,21,21,118,59,25,达州,颗粒物(PM10)
85,良,0.7,东山公园,30,99,68,104,63,6,德阳,细颗粒物(PM2.5)
68,良,0.6,西小区,36,87,49,86,28,11,德阳,颗粒物(PM10)
65,良,0.6,市检察院,47,86,55,79,42,7,德阳,颗粒物(PM10)
32,优,0.3,德宏州监测站,13,89,48,32,7,16,德宏州,_
32,优,0.7,芒市建设局,24,73,45,30,22,19,德宏州,_
94,良,0.6,耐火材料厂,48,84,49,106,70,8,德阳,细颗粒物(PM2.5)
97,良,0.9,儿童乐园,15,65,57,144,12,7,德州,颗粒物(PM10)
60,良,1.1,监理站,14,69,56,69,7,9,德州,颗粒物(PM10)
82,良,0.7,九衢泉纯净水厂,15,77,65,114,12,13,德州,颗粒物(PM10)
102,轻度污染,0.7,监测站（原粮食局）,18,96,69,154,54,19,定西,颗粒物(PM10)
59,良,1.2,南峰招待所（原起重机厂）,24,68,34,59,42,14,定西,细颗粒物(PM2.5)
62,良,1.2,南城元岭,26,55,57,54,44,12,东莞,细颗粒物(PM2.5)
64,良,1.2,南城西平,48,36,41,51,46,9,东莞,细颗粒物(PM2.5)
67,良,1.1,东城主山,26,52,54,_,48,8,东莞,细颗粒物(PM2.5)
78,良,1.0,莞城梨川,37,53,55,_,57,11,东莞,细颗粒物(PM2.5)
146,轻度污染,0.4,西城阳光环保公司,17,64,52,242,24,20,东营,颗粒物(PM10)
93,良,0.5,市环保局,18,68,55,136,12,12,东营,颗粒物(PM10)
103,轻度污染,0.6,开发区管委会,17,66,54,156,24,12,东营,颗粒物(PM10)
28,优,0.3,古城,4,87,81,13,_,18,迪庆州,_
30,优,0.5,迪庆州站,8,93,84,23,6,8,迪庆州,_
60,良,0.5,综合楼,20,83,84,69,4,7,鄂尔多斯,颗粒物(PM10)
55,良,0.8,巴音孟克林场办事处,6,87,84,59,15,7,鄂尔多斯,颗粒物(PM10)
35,优,0.6,康泽苑,15,68,73,35,8,7,鄂尔多斯,_
54,良,0.5,华泰汽车城,10,97,95,58,8,7,鄂尔多斯,颗粒物(PM10)
59,良,0.5,奥林花园,8,84,82,67,1,5,鄂尔多斯,颗粒物(PM10)
54,良,0.9,湖北民院,26,43,22,57,38,9,恩施州,"
                      颗粒物(PM10)
                      

                  "
52,良,1.6,市政府,41,66,51,53,27,15,鄂州,颗粒物(PM10)
85,良,0.7,赵家坝,16,100,76,_,63,6,鄂州,细颗粒物(PM2.5)
62,良,0.9,凡口开发区,12,90,66,74,35,4,鄂州,颗粒物(PM10)
83,良,0.8,湾梁,35,33,42,116,51,9,佛山,颗粒物(PM10)
69,良,0.8,华材职中,40,29,38,71,50,19,佛山,细颗粒物(PM2.5)
65,良,0.9,南海气象局,40,30,40,73,47,10,佛山,细颗粒物(PM2.5)
73,良,1.0,顺德苏岗,44,34,42,60,53,7,佛山,细颗粒物(PM2.5)
83,良,1.1,容桂街道办,50,37,37,76,61,17,佛山,细颗粒物(PM2.5)
72,良,0.8,高明孔堂,25,47,37,94,46,14,佛山,颗粒物(PM10)
64,良,1.2,三水监测站,38,48,46,55,46,9,佛山,细颗粒物(PM2.5)
67,良,0.9,三水云东海,23,49,50,49,48,7,佛山,细颗粒物(PM2.5)
52,良,1.2,沙万,21,71,67,53,34,10,防城港,颗粒物(PM10)
80,良,1.3,沈抚新城,65,36,50,78,59,34,抚顺,细颗粒物(PM2.5)
117,轻度污染,1.1,望花区,65,33,45,_,88,61,抚顺,细颗粒物(PM2.5)
50,优,0.8,防城镇政府,25,69,67,50,34,9,防城港,_
54,良,1.0,大海花园,20,75,70,58,31,9,防城港,颗粒物(PM10)
